split_idx,best_val_acc,fold_dir
1,0.55,/scratch/slurm_tmpdir/job_2033952/job_2033952/results/vit_b32_bfloat16_251102_0114/split_001
2,0.55,/scratch/slurm_tmpdir/job_2033952/job_2033952/results/vit_b32_bfloat16_251102_0114/split_002
3,0.8947368421052632,/scratch/slurm_tmpdir/job_2033952/job_2033952/results/vit_b32_bfloat16_251102_0114/split_003
4,1.0,/scratch/slurm_tmpdir/job_2033952/job_2033952/results/vit_b32_bfloat16_251102_0114/split_004
5,1.0,/scratch/slurm_tmpdir/job_2033952/job_2033952/results/vit_b32_bfloat16_251102_0114/split_005
6,1.0,/scratch/slurm_tmpdir/job_2033952/job_2033952/results/vit_b32_bfloat16_251102_0114/split_006
7,1.0,/scratch/slurm_tmpdir/job_2033952/job_2033952/results/vit_b32_bfloat16_251102_0114/split_007
8,1.0,/scratch/slurm_tmpdir/job_2033952/job_2033952/results/vit_b32_bfloat16_251102_0114/split_008
9,1.0,/scratch/slurm_tmpdir/job_2033952/job_2033952/results/vit_b32_bfloat16_251102_0114/split_009
10,1.0,/scratch/slurm_tmpdir/job_2033952/job_2033952/results/vit_b32_bfloat16_251102_0114/split_010
11,1.0,/scratch/slurm_tmpdir/job_2033952/job_2033952/results/vit_b32_bfloat16_251102_0114/split_011
12,1.0,/scratch/slurm_tmpdir/job_2033952/job_2033952/results/vit_b32_bfloat16_251102_0114/split_012
13,1.0,/scratch/slurm_tmpdir/job_2033952/job_2033952/results/vit_b32_bfloat16_251102_0114/split_013
14,1.0,/scratch/slurm_tmpdir/job_2033952/job_2033952/results/vit_b32_bfloat16_251102_0114/split_014
15,1.0,/scratch/slurm_tmpdir/job_2033952/job_2033952/results/vit_b32_bfloat16_251102_0114/split_015
16,1.0,/scratch/slurm_tmpdir/job_2033952/job_2033952/results/vit_b32_bfloat16_251102_0114/split_016
17,1.0,/scratch/slurm_tmpdir/job_2033952/job_2033952/results/vit_b32_bfloat16_251102_0114/split_017
18,1.0,/scratch/slurm_tmpdir/job_2033952/job_2033952/results/vit_b32_bfloat16_251102_0114/split_018
19,1.0,/scratch/slurm_tmpdir/job_2033952/job_2033952/results/vit_b32_bfloat16_251102_0114/split_019
20,1.0,/scratch/slurm_tmpdir/job_2033952/job_2033952/results/vit_b32_bfloat16_251102_0114/split_020
21,1.0,/scratch/slurm_tmpdir/job_2033952/job_2033952/results/vit_b32_bfloat16_251102_0114/split_021
22,1.0,/scratch/slurm_tmpdir/job_2033952/job_2033952/results/vit_b32_bfloat16_251102_0114/split_022
23,1.0,/scratch/slurm_tmpdir/job_2033952/job_2033952/results/vit_b32_bfloat16_251102_0114/split_023
24,1.0,/scratch/slurm_tmpdir/job_2033952/job_2033952/results/vit_b32_bfloat16_251102_0114/split_024
25,1.0,/scratch/slurm_tmpdir/job_2033952/job_2033952/results/vit_b32_bfloat16_251102_0114/split_025
